Download Link,URL,Download Link Instances
http://developers.redhat.com/download-manager/file/linux_cheatsheet_bw.pdf,developers.redhat.com/promotions/linux-cheatsheet/,66
http://developers.redhat.com/download-manager/file//Modern_Java_EE_Design_Patterns_Red_Hat.pdf,developers.redhat.com/promotions/distributed-javaee-architecture/,58
http://developers.redhat.com/download-manager/file/Developers_Salary_Report_2016.pdf,developers.redhat.com/promotions/developers-salary-survey-2016/,48
https://github.com/jboss-developer/jboss-eap-quickstarts/archive/6.4.0.GA.zip,developers.redhat.com/quickstarts/eap/helloworld/,9
https://developers.redhat.com/download-manager/file/cdk-2.0.0.zip,developers.redhat.com/products/cdk/get-started/,10
https://developers.redhat.com/download-manager/file/jboss-devstudio-9.1.0.GA-installer-standalone.jar,developers.redhat.com/products/devstudio/download/,5
https://developers.redhat.com/download-manager/file/fuse-eap-installer-6.2.1.redhat-084.jar,developers.redhat.com/downloads/,6
http://developers.redhat.com/download-manager/file//jboss-fuse-6.2.1.GA-full_zip.zip,developers.redhat.com/products/fuse/get-started/,6
https://developers.redhat.com/download-manager/file/jboss-devstudio-9.1.0.GA-installer-eap.jar,developers.redhat.com/products/devstudio/get-started/,2
https://github.com/jboss-developer/ticket-monster/archive/2.7.0.Final-with-tutorials.zip,developers.redhat.com/ticket-monster/,2
https://developers.redhat.com/download-manager/file/jboss-eap-7.0.0-installer.jar,developers.redhat.com/downloads/,2
https://access.cdn.redhat.com/content/origin/files/sha256/3a/3a5fd81af8f533e1b198395044dcd3e7e7f77fae854cbb70d42d58d51bdad55d/linux_cheatsheet_bw.pdf,developers.redhat.com/promotions/linux-cheatsheet/,2
http://developers.redhat.com/download-manager/file//jboss-devstudio-8.1.0.GA-jar_universal.jar,developers.redhat.com/products/fuse/get-started/,2
https://access.cdn.redhat.com/content/origin/files/sha256/a3/a3ff84543ab8a8e303c85c584c978e6d9f2183539f2afa2c564a7b30645bdae1/Modern_Java_EE_Design_Patterns_Red_Hat.pdf,developers.redhat.com/promotions/distributed-javaee-architecture/,2
http://static.jboss.org/rhd/docs/rhel_developer_getting_started_guide.pdf,developers.redhat.com/products/rhel/docs-and-apis/,2
http://docs.jboss.org/jbossdeveloper/2.7/ticket-monster-2.7.0.Final.pdf,developers.redhat.com/ticket-monster/,2
http://www.redhat.com/en/files/resources/en-rhel-software-collections-INC0194637.pdf,developers.redhat.com/products/softwarecollections/overview/,1
http://www.openmp.org/mp-documents/openmp-4.5.pdf,http://developers.redhat.com/blog/2016/03/22/what-is-new-in-openmp-4-5-3/,1
https://developers.redhat.com/download-manager/file/jboss-devstudio-9.1.0.GA-updatesite-core.zip,developers.redhat.com/products/devstudio/download/,1
https://access.cdn.redhat.com/content/origin/files/sha256/f5/f53bd5c84abb239bbb13c3c752ae3c6f7358620c7498757f9a6dc1b9b8d47113/jboss-devstudio-platform-9.1.0-Beta1-installer.exe,developers.redhat.com/products/devstudio/get-started/,1