Date,OS,Visits
19-Feb-16,Microsoft Windows,11782
19-Feb-16,Apple Macintosh,2403
19-Feb-16,GNU/Linux,2056
19-Feb-16,Google Android,1783
19-Feb-16,Apple iOS,1330
19-Feb-16,Microsoft Windows Phone/Mobile,42
19-Feb-16,Chrome OS,40
19-Feb-16,Other,12
19-Feb-16,Nokia,8
19-Feb-16,Blackberry,6
20-Feb-16,Microsoft Windows,8981
20-Feb-16,Google Android,1890
20-Feb-16,Apple Macintosh,1774
20-Feb-16,GNU/Linux,1462
20-Feb-16,Apple iOS,1442
20-Feb-16,Microsoft Windows Phone/Mobile,35
20-Feb-16,Chrome OS,23
20-Feb-16,Other,10
20-Feb-16,Nokia,7
20-Feb-16,Blackberry,6
21-Feb-16,Microsoft Windows,9728
21-Feb-16,Google Android,2010
21-Feb-16,Apple Macintosh,1943
21-Feb-16,GNU/Linux,1450
21-Feb-16,Apple iOS,1449
21-Feb-16,Microsoft Windows Phone/Mobile,50
21-Feb-16,Chrome OS,27
21-Feb-16,Nokia,12
21-Feb-16,Other,9
21-Feb-16,Blackberry,6
22-Feb-16,Microsoft Windows,13298
22-Feb-16,Apple Macintosh,3110
22-Feb-16,GNU/Linux,2358
22-Feb-16,Google Android,2134
22-Feb-16,Apple iOS,1541
22-Feb-16,Microsoft Windows Phone/Mobile,57
22-Feb-16,Chrome OS,29
22-Feb-16,Nokia,10
22-Feb-16,Blackberry,10
22-Feb-16,Other,6
23-Feb-16,Microsoft Windows,13488
23-Feb-16,Apple Macintosh,3020
23-Feb-16,GNU/Linux,2396
23-Feb-16,Google Android,1911
23-Feb-16,Apple iOS,1530
23-Feb-16,Microsoft Windows Phone/Mobile,42
23-Feb-16,Chrome OS,41
23-Feb-16,Other,12
23-Feb-16,Blackberry,10
23-Feb-16,Nokia,6
24-Feb-16,Microsoft Windows,13592
24-Feb-16,Apple Macintosh,3033
24-Feb-16,GNU/Linux,2264
24-Feb-16,Google Android,2081
24-Feb-16,Apple iOS,1560
24-Feb-16,Chrome OS,43
24-Feb-16,Microsoft Windows Phone/Mobile,36
24-Feb-16,Other,7
24-Feb-16,Blackberry,5
24-Feb-16,Nokia,4
25-Feb-16,Microsoft Windows,12618
25-Feb-16,Apple Macintosh,2720
25-Feb-16,GNU/Linux,2108
25-Feb-16,Google Android,1825
25-Feb-16,Apple iOS,1445
25-Feb-16,Chrome OS,39
25-Feb-16,Microsoft Windows Phone/Mobile,37
25-Feb-16,Other,15
25-Feb-16,Nokia,10
25-Feb-16,Blackberry,6
26-Feb-16,Microsoft Windows,11871
26-Feb-16,Apple Macintosh,2497
26-Feb-16,GNU/Linux,1995
26-Feb-16,Google Android,1694
26-Feb-16,Apple iOS,1379
26-Feb-16,Microsoft Windows Phone/Mobile,38
26-Feb-16,Chrome OS,33
26-Feb-16,Other,14
26-Feb-16,Nokia,8
26-Feb-16,Blackberry,6
27-Feb-16,Microsoft Windows,9061
27-Feb-16,Google Android,1972
27-Feb-16,Apple Macintosh,1694
27-Feb-16,Apple iOS,1573
27-Feb-16,GNU/Linux,1326
27-Feb-16,Microsoft Windows Phone/Mobile,47
27-Feb-16,Chrome OS,28
27-Feb-16,Nokia,11
27-Feb-16,Other,9
27-Feb-16,Blackberry,7
28-Feb-16,Microsoft Windows,9957
28-Feb-16,Google Android,2077
28-Feb-16,Apple Macintosh,1747
28-Feb-16,Apple iOS,1737
28-Feb-16,GNU/Linux,1358
28-Feb-16,Microsoft Windows Phone/Mobile,51
28-Feb-16,Chrome OS,47
28-Feb-16,Other,12
28-Feb-16,Nokia,4
28-Feb-16,Blackberry,4
29-Feb-16,Microsoft Windows,13768
29-Feb-16,Apple Macintosh,2793
29-Feb-16,GNU/Linux,2244
29-Feb-16,Google Android,2086
29-Feb-16,Apple iOS,1764
29-Feb-16,Microsoft Windows Phone/Mobile,49
29-Feb-16,Chrome OS,33
29-Feb-16,Other,11
29-Feb-16,Nokia,6
29-Feb-16,Blackberry,6
1-Mar-16,Microsoft Windows,13273
1-Mar-16,Apple Macintosh,3194
1-Mar-16,GNU/Linux,2465
1-Mar-16,Google Android,2040
1-Mar-16,Apple iOS,1823
1-Mar-16,Microsoft Windows Phone/Mobile,57
1-Mar-16,Chrome OS,42
1-Mar-16,Other,8
1-Mar-16,Nokia,7
1-Mar-16,Blackberry,7
2-Mar-16,Microsoft Windows,12932
2-Mar-16,Apple Macintosh,2769
2-Mar-16,GNU/Linux,2301
2-Mar-16,Google Android,1972
2-Mar-16,Apple iOS,1840
2-Mar-16,Microsoft Windows Phone/Mobile,58
2-Mar-16,Chrome OS,35
2-Mar-16,Nokia,9
2-Mar-16,Blackberry,8
2-Mar-16,Other,7
3-Mar-16,Microsoft Windows,13186
3-Mar-16,Apple Macintosh,2656
3-Mar-16,GNU/Linux,2169
3-Mar-16,Google Android,1927
3-Mar-16,Apple iOS,1662
3-Mar-16,Microsoft Windows Phone/Mobile,55
3-Mar-16,Chrome OS,34
3-Mar-16,Other,8
3-Mar-16,Nokia,6
3-Mar-16,UNIX,5
4-Mar-16,Microsoft Windows,11655
4-Mar-16,Apple Macintosh,2576
4-Mar-16,GNU/Linux,2007
4-Mar-16,Google Android,1768
4-Mar-16,Apple iOS,1716
4-Mar-16,Microsoft Windows Phone/Mobile,60
4-Mar-16,Chrome OS,33
4-Mar-16,Blackberry,9
4-Mar-16,Other,8
4-Mar-16,Symbian,5
5-Mar-16,Microsoft Windows,9123
5-Mar-16,Google Android,1970
5-Mar-16,Apple Macintosh,1764
5-Mar-16,Apple iOS,1718
5-Mar-16,GNU/Linux,1500
5-Mar-16,Microsoft Windows Phone/Mobile,51
5-Mar-16,Chrome OS,29
5-Mar-16,Nokia,16
5-Mar-16,Blackberry,6
5-Mar-16,Other,6
6-Mar-16,Microsoft Windows,9754
6-Mar-16,Google Android,2148
6-Mar-16,Apple iOS,1848
6-Mar-16,Apple Macintosh,1775
6-Mar-16,GNU/Linux,1576
6-Mar-16,Microsoft Windows Phone/Mobile,49
6-Mar-16,Chrome OS,27
6-Mar-16,Other,19
6-Mar-16,Blackberry,8
6-Mar-16,Nokia,5
7-Mar-16,Microsoft Windows,13313
7-Mar-16,Apple Macintosh,2887
7-Mar-16,GNU/Linux,2303
7-Mar-16,Google Android,1691
7-Mar-16,Apple iOS,1605
7-Mar-16,Microsoft Windows Phone/Mobile,48
7-Mar-16,Chrome OS,29
7-Mar-16,Blackberry,15
7-Mar-16,Nokia,14
7-Mar-16,Other,11
8-Mar-16,Microsoft Windows,13572
8-Mar-16,Apple Macintosh,2846
8-Mar-16,GNU/Linux,2337
8-Mar-16,Google Android,1770
8-Mar-16,Apple iOS,1485
8-Mar-16,Microsoft Windows Phone/Mobile,51
8-Mar-16,Chrome OS,35
8-Mar-16,Nokia,12
8-Mar-16,Other,9
8-Mar-16,Unspecified,5
9-Mar-16,Microsoft Windows,13558
9-Mar-16,Apple Macintosh,2920
9-Mar-16,GNU/Linux,2381
9-Mar-16,Google Android,1801
9-Mar-16,Apple iOS,1553
9-Mar-16,Microsoft Windows Phone/Mobile,39
9-Mar-16,Chrome OS,28
9-Mar-16,Nokia,18
9-Mar-16,Other,8
9-Mar-16,Blackberry,3
10-Mar-16,Microsoft Windows,13416
10-Mar-16,Apple Macintosh,2778
10-Mar-16,GNU/Linux,2177
10-Mar-16,Google Android,1795
10-Mar-16,Apple iOS,1480
10-Mar-16,Microsoft Windows Phone/Mobile,52
10-Mar-16,Chrome OS,34
10-Mar-16,Other,11
10-Mar-16,Nokia,10
10-Mar-16,Blackberry,7
11-Mar-16,Microsoft Windows,11456
11-Mar-16,Apple Macintosh,2479
11-Mar-16,GNU/Linux,1949
11-Mar-16,Google Android,1721
11-Mar-16,Apple iOS,1301
11-Mar-16,Microsoft Windows Phone/Mobile,52
11-Mar-16,Chrome OS,36
11-Mar-16,Nokia,8
11-Mar-16,Other,8
11-Mar-16,Blackberry,5
12-Mar-16,Microsoft Windows,8925
12-Mar-16,Google Android,1786
12-Mar-16,Apple Macintosh,1618
12-Mar-16,Apple iOS,1494
12-Mar-16,GNU/Linux,1299
12-Mar-16,Microsoft Windows Phone/Mobile,49
12-Mar-16,Chrome OS,22
12-Mar-16,Other,16
12-Mar-16,Nokia,10
12-Mar-16,Symbian,4
13-Mar-16,Microsoft Windows,8877
13-Mar-16,Google Android,2022
13-Mar-16,Apple Macintosh,1637
13-Mar-16,Apple iOS,1529
13-Mar-16,GNU/Linux,1295
13-Mar-16,Microsoft Windows Phone/Mobile,42
13-Mar-16,Chrome OS,22
13-Mar-16,Other,12
13-Mar-16,Nokia,6
13-Mar-16,Blackberry,3
14-Mar-16,Microsoft Windows,12887
14-Mar-16,Apple Macintosh,2739
14-Mar-16,GNU/Linux,2132
14-Mar-16,Google Android,1636
14-Mar-16,Apple iOS,1339
14-Mar-16,Chrome OS,45
14-Mar-16,Microsoft Windows Phone/Mobile,25
14-Mar-16,Other,9
14-Mar-16,Nokia,8
14-Mar-16,Blackberry,4
15-Mar-16,Microsoft Windows,13046
15-Mar-16,Apple Macintosh,2742
15-Mar-16,GNU/Linux,2165
15-Mar-16,Google Android,1666
15-Mar-16,Apple iOS,1377
15-Mar-16,Microsoft Windows Phone/Mobile,40
15-Mar-16,Chrome OS,39
15-Mar-16,Nokia,7
15-Mar-16,Blackberry,7
15-Mar-16,Other,6
16-Mar-16,Microsoft Windows,12772
16-Mar-16,Apple Macintosh,2749
16-Mar-16,GNU/Linux,2058
16-Mar-16,Google Android,1592
16-Mar-16,Apple iOS,1250
16-Mar-16,Microsoft Windows Phone/Mobile,34
16-Mar-16,Chrome OS,27
16-Mar-16,Other,13
16-Mar-16,Nokia,8
16-Mar-16,UNIX,1
17-Mar-16,Microsoft Windows,11868
17-Mar-16,Apple Macintosh,2679
17-Mar-16,GNU/Linux,1985
17-Mar-16,Google Android,1637
17-Mar-16,Apple iOS,1304
17-Mar-16,Microsoft Windows Phone/Mobile,32
17-Mar-16,Chrome OS,30
17-Mar-16,Nokia,15
17-Mar-16,Blackberry,10
17-Mar-16,Other,5
18-Mar-16,Microsoft Windows,10047
18-Mar-16,Apple Macintosh,2249
18-Mar-16,GNU/Linux,1756
18-Mar-16,Google Android,1229
18-Mar-16,Apple iOS,895
18-Mar-16,Chrome OS,16
18-Mar-16,Microsoft Windows Phone/Mobile,14
18-Mar-16,Other,14
18-Mar-16,Blackberry,5
18-Mar-16,Nokia,4
19-Mar-16,Microsoft Windows,5378
19-Mar-16,Apple Macintosh,1283
19-Mar-16,GNU/Linux,1092
19-Mar-16,Google Android,817
19-Mar-16,Apple iOS,702
19-Mar-16,Chrome OS,12
19-Mar-16,Other,12
19-Mar-16,Microsoft Windows Phone/Mobile,10
19-Mar-16,Nokia,8
19-Mar-16,UNIX,4
20-Mar-16,Microsoft Windows,5282
20-Mar-16,Apple Macintosh,1448
20-Mar-16,GNU/Linux,1104
20-Mar-16,Google Android,886
20-Mar-16,Apple iOS,569
20-Mar-16,Microsoft Windows Phone/Mobile,18
20-Mar-16,Chrome OS,16
20-Mar-16,Nokia,12
20-Mar-16,Other,7
20-Mar-16,Symbian,2
21-Mar-16,Microsoft Windows,8322
21-Mar-16,Apple Macintosh,2460
21-Mar-16,GNU/Linux,1846
21-Mar-16,Google Android,846
21-Mar-16,Apple iOS,576
21-Mar-16,Chrome OS,17
21-Mar-16,Nokia,16
21-Mar-16,Microsoft Windows Phone/Mobile,13
21-Mar-16,UNIX,10
21-Mar-16,Symbian,3
22-Mar-16,Microsoft Windows,8931
22-Mar-16,Apple Macintosh,2541
22-Mar-16,GNU/Linux,1967
22-Mar-16,Google Android,1008
22-Mar-16,Apple iOS,640
22-Mar-16,Chrome OS,25
22-Mar-16,Microsoft Windows Phone/Mobile,17
22-Mar-16,Blackberry,8
22-Mar-16,Nokia,6
22-Mar-16,UNIX,2
23-Mar-16,Microsoft Windows,8530
23-Mar-16,Apple Macintosh,2528
23-Mar-16,GNU/Linux,1934
23-Mar-16,Google Android,980
23-Mar-16,Apple iOS,741
23-Mar-16,Microsoft Windows Phone/Mobile,20
23-Mar-16,Chrome OS,17
23-Mar-16,Blackberry,4
23-Mar-16,Other,3
23-Mar-16,Unspecified,2
24-Mar-16,Microsoft Windows,7632
24-Mar-16,Apple Macintosh,2266
24-Mar-16,GNU/Linux,1829
24-Mar-16,Google Android,1064
24-Mar-16,Apple iOS,763
24-Mar-16,Microsoft Windows Phone/Mobile,21
24-Mar-16,Chrome OS,7
24-Mar-16,Blackberry,6
24-Mar-16,Nokia,5
24-Mar-16,Other,5
25-Mar-16,Microsoft Windows,6404
25-Mar-16,Apple Macintosh,1853
25-Mar-16,GNU/Linux,1444
25-Mar-16,Google Android,913
25-Mar-16,Apple iOS,616
25-Mar-16,Microsoft Windows Phone/Mobile,24
25-Mar-16,Chrome OS,18
25-Mar-16,Nokia,10
25-Mar-16,Other,4
25-Mar-16,Blackberry,3
26-Mar-16,Microsoft Windows,5104
26-Mar-16,Apple Macintosh,1306
26-Mar-16,GNU/Linux,1104
26-Mar-16,Google Android,833
26-Mar-16,Apple iOS,552
26-Mar-16,Microsoft Windows Phone/Mobile,38
26-Mar-16,Chrome OS,13
26-Mar-16,Nokia,10
26-Mar-16,Other,5
26-Mar-16,Unspecified,5
27-Mar-16,Microsoft Windows,5184
27-Mar-16,Apple Macintosh,1272
27-Mar-16,GNU/Linux,1078
27-Mar-16,Google Android,823
27-Mar-16,Apple iOS,521
27-Mar-16,Chrome OS,14
27-Mar-16,Microsoft Windows Phone/Mobile,12
27-Mar-16,Nokia,11
27-Mar-16,Symbian,10
27-Mar-16,Unspecified,3
28-Mar-16,Microsoft Windows,7596
28-Mar-16,Apple Macintosh,2183
28-Mar-16,GNU/Linux,1608
28-Mar-16,Google Android,909
28-Mar-16,Apple iOS,537
28-Mar-16,Microsoft Windows Phone/Mobile,20
28-Mar-16,Chrome OS,18
28-Mar-16,Nokia,11
28-Mar-16,Symbian,10
28-Mar-16,Blackberry,7
29-Mar-16,Microsoft Windows,8470
29-Mar-16,Apple Macintosh,2565
29-Mar-16,GNU/Linux,1938
29-Mar-16,Google Android,923
29-Mar-16,Apple iOS,538
29-Mar-16,Chrome OS,25
29-Mar-16,Microsoft Windows Phone/Mobile,12
29-Mar-16,Symbian,6
29-Mar-16,Blackberry,5
29-Mar-16,Nokia,3
30-Mar-16,Microsoft Windows,8656
30-Mar-16,Apple Macintosh,2636
30-Mar-16,GNU/Linux,1948
30-Mar-16,Google Android,990
30-Mar-16,Apple iOS,607
30-Mar-16,Microsoft Windows Phone/Mobile,26
30-Mar-16,Chrome OS,14
30-Mar-16,Other,13
30-Mar-16,Symbian,7
30-Mar-16,Nokia,6
31-Mar-16,Microsoft Windows,8296
31-Mar-16,Apple Macintosh,2501
31-Mar-16,GNU/Linux,1985
31-Mar-16,Google Android,1034
31-Mar-16,Apple iOS,577
31-Mar-16,Chrome OS,23
31-Mar-16,Microsoft Windows Phone/Mobile,18
31-Mar-16,UNIX,6
31-Mar-16,Blackberry,5
31-Mar-16,Nokia,4
1-Apr-16,Microsoft Windows,8418
1-Apr-16,Apple Macintosh,2562
1-Apr-16,GNU/Linux,2263
1-Apr-16,Google Android,1286
1-Apr-16,Apple iOS,855
1-Apr-16,Microsoft Windows Phone/Mobile,26
1-Apr-16,Chrome OS,18
1-Apr-16,Nokia,8
1-Apr-16,Blackberry,6
1-Apr-16,Symbian,3
2-Apr-16,Microsoft Windows,5516
2-Apr-16,Apple Macintosh,1500
2-Apr-16,GNU/Linux,1379
2-Apr-16,Google Android,1010
2-Apr-16,Apple iOS,613
2-Apr-16,Chrome OS,16
2-Apr-16,Microsoft Windows Phone/Mobile,14
2-Apr-16,Nokia,11
2-Apr-16,Symbian,7
2-Apr-16,Other,4
3-Apr-16,Microsoft Windows,5547
3-Apr-16,Apple Macintosh,1563
3-Apr-16,GNU/Linux,1307
3-Apr-16,Google Android,982
3-Apr-16,Apple iOS,601
3-Apr-16,Chrome OS,14
